[2024-07-10 13:27:07,626: INFO: main: Welcome to the custom log]
[2024-07-10 13:27:36,814: INFO: main: Welcome to the custom log]
[2024-07-10 15:46:17,356: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-10 15:46:17,364: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-10 15:46:17,366: INFO: common: created directory at: artifacts]
[2024-07-10 15:46:17,368: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-10 15:46:17,371: INFO: 2704951983: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-10 15:47:18,616: INFO: 2704951983: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-07-10 16:10:12,646: INFO: main: >>>>>> stage Data Ingestion stage started <<<<<<]
[2024-07-10 16:10:12,647: INFO: common: yaml file: config\config.yaml loaded successfully]
[2024-07-10 16:10:12,648: INFO: common: yaml file: params.yaml loaded successfully]
[2024-07-10 16:10:12,648: INFO: common: created directory at: artifacts]
[2024-07-10 16:10:12,649: INFO: common: created directory at: artifacts/data_ingestion]
[2024-07-10 16:10:12,649: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2024-07-10 16:10:18,722: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1vlhZ5c7abUKF8xXERIw6m9Te8fW7ohw3/view?usp=sharing into artifacts/data_ingestion/data.zip]
[2024-07-10 16:10:19,289: INFO: main: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
